Time,Q1,T1,SP1
1.490000000000000000e+02,4.883073650793649279e+01,3.975099999999999767e+01,6.000000000000000000e+01
1.500000000000000000e+02,4.892354285714284146e+01,3.978300000000000125e+01,6.000000000000000000e+01
1.510000000000000000e+02,4.897926984126982575e+01,3.984799999999999898e+01,6.000000000000000000e+01
1.520000000000000000e+02,4.892730793650792265e+01,4.000900000000000034e+01,6.000000000000000000e+01
1.530000000000000000e+02,4.894695873015872678e+01,4.010499999999999687e+01,6.000000000000000000e+01
1.540000000000000000e+02,4.900064126984125323e+01,4.017000000000000171e+01,6.000000000000000000e+01
1.550000000000000000e+02,4.894663492063490651e+01,4.033100000000000307e+01,6.000000000000000000e+01
1.560000000000000000e+02,4.899888253968252627e+01,4.039600000000000080e+01,6.000000000000000000e+01
1.570000000000000000e+02,4.919598730158728728e+01,4.033100000000000307e+01,6.000000000000000000e+01
1.580000000000000000e+02,4.910519999999998220e+01,4.052400000000000091e+01,6.000000000000000000e+01
1.590000000000000000e+02,4.897631111111109448e+01,4.075000000000000000e+01,6.000000000000000000e+01
1.600000000000000000e+02,4.920692698412696586e+01,4.065299999999999869e+01,6.000000000000000000e+01
1.610000000000000000e+02,4.925713015873013489e+01,4.071800000000000352e+01,6.000000000000000000e+01
1.620000000000000000e+02,4.905549206349204638e+01,4.100800000000000267e+01,6.000000000000000000e+01
1.630000000000000000e+02,4.921183492063490661e+01,4.097599999999999909e+01,6.000000000000000000e+01
1.640000000000000000e+02,4.926110476190475396e+01,4.103999999999999915e+01,6.000000000000000000e+01
1.650000000000000000e+02,4.920157460317459197e+01,4.120100000000000051e+01,6.000000000000000000e+01
1.660000000000000000e+02,4.921253968253967059e+01,4.129800000000000182e+01,6.000000000000000000e+01
1.670000000000000000e+02,4.929552380952380020e+01,4.132999999999999829e+01,6.000000000000000000e+01
1.680000000000000000e+02,4.944982222222220969e+01,4.129800000000000182e+01,6.000000000000000000e+01
1.690000000000000000e+02,4.935289523809522905e+01,4.149099999999999966e+01,6.000000000000000000e+01
1.700000000000000000e+02,4.936201904761904302e+01,4.158800000000000097e+01,6.000000000000000000e+01
1.710000000000000000e+02,4.937052698412696827e+01,4.168500000000000227e+01,6.000000000000000000e+01
1.720000000000000000e+02,4.959520634920633597e+01,4.158800000000000097e+01,6.000000000000000000e+01
1.730000000000000000e+02,4.949643809523809068e+01,4.178099999999999881e+01,6.000000000000000000e+01
1.740000000000000000e+02,4.935956825396824854e+01,4.200699999999999790e+01,6.000000000000000000e+01
1.750000000000000000e+02,4.950956825396824712e+01,4.197500000000000142e+01,6.000000000000000000e+01
1.760000000000000000e+02,4.955249523809523282e+01,4.203900000000000148e+01,6.000000000000000000e+01
1.770000000000000000e+02,4.955813968253967516e+01,4.213600000000000279e+01,6.000000000000000000e+01
1.780000000000000000e+02,4.949165079365079123e+01,4.229699999999999704e+01,6.000000000000000000e+01
1.790000000000000000e+02,4.963980952380951805e+01,4.226500000000000057e+01,6.000000000000000000e+01
